loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),state(N)
2018-02-27 16:36:54.043 -0500,1,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519767411,38.03325792,-78.5144892,173.9707,-1,-1,15.22462273,65,-9999,1519767414,23.54279327,7.956680298,-2.15838623,93.45478821,103.2206497,50,1523849.301,-0.0007476806641,0.0009765625,-1.007019043,1523849.244,-0.00962466418,-0.004273840917,-0.003149454305,1523849.29,2.908739749,0.01167248671,-0.0002206079802,0.003961358219,-0.006785931531,0.0007699069101,0.01242140681,-0.003333400935,-0.005546033382,XArbitraryCorrectedZVertical,-0.005809512921,0.0005683997879,0.9932130575,0.116162248,0.01167222112,0.0002206079807,-0.9999318719,23.46878242,7.735168457,-2.249328613,2,1523848.799,automotive,0,2018-02-27 16:36:53.524 -0500,null,0,0,0,0,null,1523847.13,0,0,100.6573,0.0.0.0,100.83.11.234,1,1,0.52,-21.29015,-41.63469,0
2018-02-27 16:36:54.088 -0500,2,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519767411,38.03325792,-78.5144892,173.9707,-1,-1,15.22462273,65,-9999,1519767414,23.22479248,7.746879578,-2.357727051,93.45439911,103.2202606,50,1523849.361,0.002777099609,0.01091003418,-1.015487671,1523849.304,-0.006419283492,-0.004291417781,-0.003163835375,1523849.36,2.908756516,0.01172150429,-0.0001336205433,0.002946161665,0.00402437197,0.0007488140836,0.005750077777,0.005542648956,-0.01375585794,XArbitraryCorrectedZVertical,-0.005828808062,0.0006143964711,0.9932139516,0.1161536649,0.0117212357,0.000133620546,-0.9999312758,23.22479248,7.746879578,-2.357727051,2,1523848.799,automotive,0,2018-02-27 16:36:53.524 -0500,null,0,0,0,0,null,1523847.13,0,0,100.6573,0.0.0.0,100.83.11.234,1,1,0.52,-22.4047,-42.2326,0
2018-02-27 16:36:54.147 -0500,3,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519767411,38.03325792,-78.5144892,173.9707,-1,-1,15.22462273,65,-9999,1519767414,23.29456711,7.920967102,-2.326599121,93.46163177,103.2274933,50,1523849.421,0.01766967773,0.007797241211,-1.013671875,1523849.364,-0.007460046846,0.002198705796,-0.00210602779,1523849.395,2.908666396,0.01184121554,-6.07E-05,0.000810125377,0.001873001223,-0.002441477729,-0.006408809684,0.01020845771,-0.01268911362,XArbitraryCorrectedZVertical,-0.005883993581,0.000657823286,0.9932083488,0.1161981523,0.01184093859,6.07E-05,-0.9999299049,23.40960312,7.911972046,-2.213623047,2,1523848.799,automotive,0,2018-02-27 16:36:53.524 -0500,null,0,0,0,0,null,1523847.13,0,0,100.6573,0.0.0.0,100.83.11.234,1,1,0.52,-23.51926,-38.93519,0
2018-02-27 16:36:54.207 -0500,4,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519767411,38.03325792,-78.5144892,173.9707,-1,-1,15.22462273,65,-9999,1519767414,23.69361687,7.865653992,-2.191223145,93.46461487,103.2304764,50,1523849.481,0.0142364502,-0.004028320313,-1.003997803,1523849.423,-0.004284493562,-0.006467220391,-0.005303418995,1523849.464,2.908587086,0.01189332862,1.99E-05,0.002945980523,0.005109008402,0.001822128776,-0.007406964898,0.00146951736,-0.007532298565,XArbitraryCorrectedZVertical,-0.005905159749,0.0007011311827,0.9932036996,0.1162373126,0.01189304795,-1.99E-05,-0.9999292493,23.55707169,7.884078979,-2.105407715,2,1523848.799,automotive,0,2018-02-27 16:36:53.524 -0500,null,0,0,0,0,null,1523847.13,0,0,100.6573,0.0.0.0,100.83.11.234,1,1,0.52,-25.1911,-41.27383,0
2018-02-27 16:36:54.267 -0500,5,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519767411,38.03325792,-78.5144892,173.9707,-1,-1,15.22462273,65,-9999,1519767414,23.55189514,8.04044342,-2.135070801,93.45600891,103.2218704,50,1523849.54,0.00927734375,-0.0147857666,-0.9979095459,1523849.483,-0.004302603057,-0.007542871155,-0.002098837255,1523849.534,2.908811196,0.0119742095,4.81E-05,-0.002429395448,0.001903468743,0.006131455302,-0.01084477268,-0.01054151915,-0.001216113567,XArbitraryCorrectedZVertical,-0.005943770986,0.0007191441837,0.9932163358,0.1161258519,0.01197392307,-4.81E-05,-0.9999282956,23.51585007,7.926818848,-2.148132324,2,1523848.799,automotive,0,2018-02-27 16:36:53.524 -0500,null,0,0,0,0,null,1523847.13,0,0,100.6573,0.0.0.0,100.83.11.234,1,1,0.52,-26.30566,-42.5031,0
2018-02-27 16:36:54.338 -0500,6,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519767411,38.03325792,-78.5144892,173.9707,-1,-1,15.22462273,65,-9999,1519767414,23.52789307,7.801818848,-2.03338623,93.43432617,103.2001877,50,1523849.6,-0.0003967285156,-0.0110168457,-0.9987335205,1523849.543,-0.001094026576,-0.004314320966,0.001081776035,1523849.569,2.908973909,0.01210079362,0.0002366523681,0.006172171328,0.01265974902,0.006071086042,-0.01173428632,-0.001212932635,-0.007489025593,XArbitraryCorrectedZVertical,-0.005995751359,0.0008196525159,0.9932254553,0.1160444319,0.01210049819,-0.0002366523695,-0.9999267459,23.41035843,8.065231323,-2.259460449,2,1523848.799,automotive,0,2018-02-27 16:36:53.524 -0500,null,0,0,0,0,null,1523847.13,0,0,100.6573,0.0.0.0,100.83.11.234,1,1,0.52,-27.97749,-39.04277,0
2018-02-27 16:36:54.386 -0500,7,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519767411,38.03325792,-78.5144892,173.9707,-1,-1,15.22462273,65,-9999,1519767414,23.28945541,7.762306213,-2.097229004,93.42340851,103.18927,50,1523849.66,0.0004577636719,0.000732421875,-1.010681152,1523849.602,-0.002104962526,0.006494384634,-4.79E-06,1523849.639,2.909227039,0.01263379007,0.0006881196443,0.0008272211999,0.01052603684,0.003963434137,-0.007186063565,-0.01234288607,-0.0002478957176,XArbitraryCorrectedZVertical,-0.006234385539,0.001073993044,0.9932384491,0.1159170195,0.01263345126,-0.0006881196168,-0.999919951,23.50371933,7.717720032,-2.121643066,2,1523848.799,automotive,0,2018-02-27 16:36:53.524 -0500,null,0,0,0,0,null,1523847.13,0,0,100.6573,0.0.0.0,100.83.11.234,1,1,0.52,-29.64933,-36.09538,0
2018-02-27 16:36:54.446 -0500,8,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519767411,38.03325792,-78.5144892,173.9707,-1,-1,15.22462273,65,-9999,1519767414,23.52178001,7.691192627,-2.245117188,93.41652679,103.1823883,50,1523849.719,0.01037597656,0.01054382324,-1.01663208,1523849.662,-0.01820536921,-0.007461911058,0.001165665609,1523849.708,2.909416798,0.01228367835,0.0003146835247,-0.00458717579,-0.005653030705,0.001886292244,0.003158526495,-0.0116024306,0.001496136189,XArbitraryCorrectedZVertical,-0.006082240026,0.00086766819,0.9932504296,0.1158241108,0.01228336897,-0.0003146835079,-0.9999244809,23.52178001,7.691192627,-2.245117188,2,1523848.799,automotive,0,2018-02-27 16:36:53.524 -0500,null,0,0,0,0,null,1523847.13,0,0,100.6573,0.0.0.0,100.83.11.234,1,1,0.52,-30.76389,-37.10357,0
2018-02-27 16:36:54.506 -0500,9,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519767411,38.03325792,-78.5144892,173.9707,-1,-1,15.22462273,65,-9999,1519767414,23.52903748,7.657997131,-2.02911377,93.41248322,103.1783447,50,1523849.779,0.02084350586,0.008728027344,-1.015853882,1523849.722,-0.004304733586,-0.005377188557,0.00109855395,1523849.778,2.909488603,0.01218626343,0.0003450006103,-0.002435890492,-0.004588570911,-0.0002588583156,0.01090058684,-0.00597213814,-0.006727159023,XArbitraryCorrectedZVertical,-0.006032135803,0.0008768664557,0.9932550788,0.1157884672,0.01218596101,-0.0003450005897,-0.999925673,23.53600693,7.988571167,-2.023681641,2,1523848.799,automotive,0,2018-02-27 16:36:53.524 -0500,null,0,0,0,0,null,1523848.151,0,-0.07662582,100.6582,0.0.0.0,100.83.11.234,1,1,0.52,-32.43573,-38.55872,0
2018-02-27 16:36:54.577 -0500,10,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519767411,38.03325792,-78.5144892,173.9707,-1,-1,15.22462273,65,-9999,1519767415,23.57119179,7.886138916,-2.028869629,93.41163635,103.1774979,50,1523849.839,0.01931762695,-0.004684448242,-1.007217407,1523849.782,-0.005380650666,-0.008615858759,-0.001024251755,1523849.813,2.909511799,0.01207912448,0.0003667544937,-0.001382464543,-0.00566922361,0.001869802363,0.004858425818,0.0108648017,-0.01244789362,XArbitraryCorrectedZVertical,-0.005977677647,0.0008813980385,0.9932568669,0.115776971,0.01207883004,-0.0003667544806,-0.9999269843,23.57119179,7.886138916,-2.028869629,2,1523848.799,automotive,0,2018-02-27 16:36:53.524 -0500,null,0,0,0,0,null,1523848.151,0,-0.07662582,100.6582,0.0.0.0,100.83.11.234,1,1,0.52,-32.78559,-39.38987,0
