loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),state(N)
56:15.8,1,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519498575,38.03575485,-78.49849194,155.8714,0.15,-1,6,5,-9999,1519498576,-8.527454376,16.52076721,-4.072387695,73.5812149,83.35686493,30,1403477.837,0.135040283,-0.151428223,-1.001022339,1403477.807,-0.218190658,-0.053925017,-0.010641193,1403477.805,-2.015898857,0.125589285,0.146069846,-0.188702121,-0.064057395,0.003569181,0.008795492,-0.008944273,0.0032565,XArbitraryCorrectedZVertical,-0.09179154,0.028196702,0.839377582,-0.534992695,0.123925462,-0.145550966,-0.981558502,-8.587703705,16.29698944,-4.286804199,2,1403477.449,automotive,2,56:15.4,null,0,0,0,0,null,1403474.858,0,0.01320648,100.2191,10.41.2.84,100.110.18.251,1,1,0.69,-22.42558,-37.4812,0
56:15.8,2,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519498575,38.03575485,-78.49849194,155.8714,0.15,-1,6,5,-9999,1519498576,-8.776508331,16.57189941,-3.923583984,73.73062134,83.50627136,30,1403477.897,0.128875732,-0.133865356,-1.0078125,1403477.867,-0.106377307,-0.21893075,-0.119654496,1403477.874,-2.019426894,0.116634119,0.13644387,-0.098153494,-0.220324665,-0.121382728,0.019950345,-0.001735449,-0.020556927,XArbitraryCorrectedZVertical,-0.085444622,0.026678625,0.841158271,-0.533322096,0.115288302,-0.136020899,-0.983974934,-9.039745331,16.5743103,-3.923950195,2,1403477.449,automotive,2,56:15.4,null,0,0,0,0,null,1403474.858,0,0.01320648,100.2191,10.41.2.84,100.110.18.251,1,1,0.69,-23.54014,-39.28454,0
56:15.9,3,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519498575,38.03575485,-78.49849194,155.8714,0.15,-1,6,5,-9999,1519498576,-9.114635468,16.4914093,-3.641357422,74.83898163,84.61463165,30,1403477.956,0.096389771,-0.13671875,-1.001281738,1403477.927,-0.151124805,-0.309657724,-0.263350147,1403477.944,-2.033554272,0.099399649,0.12569104,-0.101384826,-0.322047651,-0.239620149,-0.002627991,-0.008352414,-0.003920615,XArbitraryCorrectedZVertical,-0.075166032,0.027258957,0.846046984,-0.527070761,0.098453194,-0.125360355,-0.987214029,-8.934902191,16.49598694,-3.643554688,2,1403477.449,automotive,2,56:15.4,null,0,0,0,0,null,1403474.858,0,0.01320648,100.2191,10.41.2.84,100.110.18.251,1,1,0.69,-25.21197,-42.30046,0
56:16.0,4,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519498575,38.03575485,-78.49849194,155.8714,0.15,-1,6,5,-9999,1519498576,-9.4661026,16.34683228,-3.434143066,75.49423981,85.26988983,30,1403478.016,0.082611084,-0.10118103,-0.98336792,1403477.986,-0.106782107,-0.391969642,-0.231347472,1403478.014,-2.049313402,0.076123867,0.117621913,-0.192972526,-0.297842294,-0.285159737,0.007543951,0.013484314,0.004832327,XArbitraryCorrectedZVertical,-0.062967584,0.0304609,0.851277649,-0.520025671,0.075524896,-0.117350884,-0.990214407,-9.4661026,16.34683228,-3.434143066,2,1403477.449,automotive,2,56:15.4,null,0,0,0,0,null,1403474.858,0,0.01320648,100.2191,10.41.2.84,100.110.18.251,1,1,0.69,-26.32653,-43.90329,0
56:16.0,5,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519498575,38.03575485,-78.49849194,155.8714,0.15,-1,6,5,-9999,1519498576,-9.785556793,16.24593353,-3.131225586,76.63993835,86.41558838,30,1403478.076,0.070648193,-0.092086792,-0.975769043,1403478.046,-0.206973423,-0.085968971,-0.450381553,1403478.048,-2.062589777,0.07069774,0.109465206,-0.204202175,-0.100281782,-0.440314561,0.002598882,0.01339101,0.006988645,XArbitraryCorrectedZVertical,-0.058361486,0.028778132,0.855150342,-0.514272928,0.07021606,-0.109246723,-0.991531491,-9.642822266,16.20278168,-3.124572754,2,1403477.449,automotive,2,56:15.4,null,0,0,0,0,null,1403474.858,0,0.01320648,100.2191,10.41.2.84,100.110.18.251,1,1,0.69,-27.99837,-40.53151,0
56:16.1,6,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519498576,38.03575485,-78.49849194,156.7762,0,-1,6,5,-9999,1519498576,-10.01872253,15.8533783,-3.139404297,77.99971771,87.77536774,30,1403478.135,0.066940308,-0.117889404,-0.995178223,1403478.106,0.063527045,-0.03014938,-0.42610391,1403478.118,-2.095076358,0.074317377,0.10515139,0.075893737,-0.027188368,-0.389432252,-0.003694229,-0.016258098,-0.002103865,XArbitraryCorrectedZVertical,-0.05837705,0.026950246,0.863424599,-0.500356853,0.073838882,-0.104957722,-0.991731584,-10.01872253,15.8533783,-3.139404297,2,1403477.449,automotive,2,56:15.4,null,0,0,0,0,null,1403474.858,0,0.01320648,100.2191,10.41.2.84,100.110.18.251,1,1,0.69,-29.11293,-41.72673,0
56:16.2,7,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519498576,38.03575485,-78.49849194,156.7762,0,-1,6,5,-9999,1519498576,-10.45126724,15.72904205,-2.97088623,78.78282166,88.55847168,30,1403478.195,0.048934937,-0.101318359,-0.988998413,1403478.165,-0.078904137,-0.077562969,-0.13609925,1403478.188,-2.109461245,0.070844935,0.102724525,-0.086759128,-0.055036433,-0.095109589,-0.02327814,0.002247937,0.003295839,XArbitraryCorrectedZVertical,-0.056080643,0.027172878,0.867176712,-0.494079411,0.070412539,-0.102543958,-0.992233217,-10.33319473,15.53419495,-3.051574707,2,1403477.449,automotive,2,56:15.4,null,0,0,0,0,null,1403474.858,0,0.01320648,100.2191,10.41.2.84,100.110.18.251,1,1,0.69,-31.34204,-40.4223,0
56:16.2,8,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519498576,38.03575485,-78.49849194,156.7762,0,-1,6,5,-9999,1519498576,-10.59275818,15.72524261,-2.879455566,79.02979279,88.80544281,30,1403478.255,0.067596436,-0.113098145,-1.015808105,1403478.225,-0.0781723,-0.05146399,-0.019815516,1403478.222,-2.111355441,0.069491752,0.099789435,-0.082637839,-0.031188358,-0.027938372,-0.008924991,-0.023911253,-0.000571012,XArbitraryCorrectedZVertical,-0.054748468,0.026283737,0.867771626,-0.493231505,0.069090396,-0.099623904,-0.992623568,-10.59275818,15.72524261,-2.879455566,2,1403477.449,automotive,2,56:15.4,null,0,0,0,0,null,1403475.804,0,0.01320648,100.2191,10.41.2.84,100.110.18.251,1,1,0.69,-32.4566,-34.11803,0
56:16.3,9,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519498576,38.03575485,-78.49849194,156.7762,0,-1,6,5,-9999,1519498576,-10.59769821,15.92234039,-2.741821289,79.0269165,88.80256653,30,1403478.315,0.060287476,-0.10395813,-0.970779419,1403478.285,0.040865674,-0.167705379,-0.005152418,1403478.292,-2.110872986,0.062724875,0.101738425,0.040528558,-0.16688332,-0.000439155,0.006045535,-0.001449078,0.009794652,XArbitraryCorrectedZVertical,-0.052296922,0.028787106,0.867775202,-0.493351519,0.06235962,-0.101563007,-0.992872655,-10.32328796,15.78840637,-2.952331543,2,1403477.449,automotive,2,56:15.4,null,0,0,0,0,null,1403475.804,0,0.01320648,100.2191,10.41.2.84,100.110.18.251,1,1,0.69,-29.45553,-35.27776,0
56:16.3,10,3DCCE5A0-AD64-4006-9610-DD3C35995850,my_iOS_device,1519498576,38.03575485,-78.49849194,156.7762,0,-1,6,5,-9999,1519498576,-10.23752213,16.00727081,-2.908081055,78.91049957,88.6861496,30,1403478.374,0.049530029,-0.106063843,-1.003677368,1403478.344,-0.007852064,-0.032292426,0.053475209,1403478.362,-2.109008031,0.05661648,0.101244763,0.039914742,-0.006845985,0.082464948,-0.001059651,-0.004000142,-0.0039379,XArbitraryCorrectedZVertical,-0.049553201,0.030033005,0.867484808,-0.494070321,0.056296464,-0.101071887,-0.993285,-10.23752213,16.00727081,-2.908081055,2,1403477.449,automotive,2,56:15.4,null,0,0,0,0,null,1403475.804,0,0.01320648,100.2191,10.41.2.84,100.110.18.251,1,1,0.69,-29.45553,-35.96621,0
